query_name,timeout,run_id,cpus,nb_results,nb_quantum,next_size(kb),execution_time(sec)
query_512,60000,run_1,4-cpus,4792183,7,10.107421875 kb,384.95491886138916 sec
query_512,60000000,run_1,4-cpus,4792183,7,9.791015625 kb,391.8130621910095 sec
query_512,60000,run_2,4-cpus,4792183,7,9.787109375 kb,386.10986518859863 sec
query_512,60000000,run_2,4-cpus,4792183,7,9.919921875 kb,392.17454504966736 sec
query_512,60000,run_3,4-cpus,4792183,7,10.298828125 kb,388.9501762390137 sec
query_512,60000000,run_3,4-cpus,4792183,7,9.142578125 kb,387.9115011692047 sec
query_14,60000,run_1,4-cpus,2525062,2,0.6142578125 kb,85.45561361312866 sec
query_14,60000000,run_1,4-cpus,2525062,2,0.6181640625 kb,86.8648452758789 sec
query_14,60000,run_2,4-cpus,2525062,2,0.6142578125 kb,84.48718476295471 sec
query_14,60000000,run_2,4-cpus,2525062,2,0.6181640625 kb,84.02039957046509 sec
query_14,60000,run_3,4-cpus,2525062,2,0.7158203125 kb,85.0964138507843 sec
query_14,60000000,run_3,4-cpus,2525062,2,0.7158203125 kb,84.69154334068298 sec
query_439,60000,run_1,4-cpus,2832909,2,0.7001953125 kb,105.8038682937622 sec
query_439,60000000,run_1,4-cpus,2832909,2,0.8798828125 kb,105.42078471183777 sec
query_439,60000,run_2,4-cpus,2832909,2,0.8916015625 kb,105.04435515403748 sec
query_439,60000000,run_2,4-cpus,2832909,2,0.8408203125 kb,104.1296238899231 sec
query_439,60000,run_3,4-cpus,2832909,2,0.8876953125 kb,103.26698446273804 sec
query_439,60000000,run_3,4-cpus,2832909,2,0.8916015625 kb,102.57094812393188 sec
query_456,60000,run_1,4-cpus,1091215,1,0.015625 kb,53.2079644203186 sec
query_456,60000000,run_1,4-cpus,1091215,1,0.015625 kb,52.46910548210144 sec
query_456,60000,run_2,4-cpus,1091215,1,0.015625 kb,51.191728353500366 sec
query_456,60000000,run_2,4-cpus,1091215,1,0.015625 kb,51.80722618103027 sec
query_456,60000,run_3,4-cpus,1091215,1,0.015625 kb,51.81312847137451 sec
query_456,60000000,run_3,4-cpus,1091215,1,0.015625 kb,51.674654483795166 sec
query_385,60000,run_1,4-cpus,967563,2,0.8603515625 kb,119.29873132705688 sec
query_385,60000000,run_1,4-cpus,967563,2,0.8525390625 kb,119.28725337982178 sec
query_385,60000,run_2,4-cpus,967563,2,0.9814453125 kb,117.37510657310486 sec
query_385,60000000,run_2,4-cpus,967563,2,0.8291015625 kb,119.06298899650574 sec
query_385,60000,run_3,4-cpus,967563,3,1.775390625 kb,122.67292189598083 sec
query_385,60000000,run_3,4-cpus,967563,2,0.8095703125 kb,119.1968252658844 sec
query_396,60000,run_1,4-cpus,1097779,5,7.453125 kb,292.81348156929016 sec
query_396,60000000,run_1,4-cpus,1097779,5,7.26953125 kb,297.48310470581055 sec
query_396,60000,run_2,4-cpus,1097779,5,7.80859375 kb,294.30663418769836 sec
query_396,60000000,run_2,4-cpus,1097779,5,7.79296875 kb,295.9809055328369 sec
query_396,60000,run_3,4-cpus,1097779,5,7.5390625 kb,296.1596210002899 sec
query_396,60000000,run_3,4-cpus,1097779,5,7.359375 kb,292.49667382240295 sec
query_354,60000,run_1,4-cpus,13087,7,6.322265625 kb,383.2703170776367 sec
query_354,60000000,run_1,4-cpus,13087,7,6.326171875 kb,382.31982946395874 sec
query_354,60000,run_2,4-cpus,13087,7,6.330078125 kb,381.55161333084106 sec
query_354,60000000,run_2,4-cpus,13087,7,6.326171875 kb,381.99613094329834 sec
query_354,60000,run_3,4-cpus,13087,7,6.326171875 kb,384.1430175304413 sec
query_354,60000000,run_3,4-cpus,13087,7,6.322265625 kb,393.19149446487427 sec
query_357,60000,run_1,4-cpus,1327,8,8.2373046875 kb,472.8675000667572 sec
query_357,60000000,run_1,4-cpus,1327,8,8.2412109375 kb,470.23253750801086 sec
query_357,60000,run_2,4-cpus,1327,8,8.2373046875 kb,476.74292039871216 sec
query_357,60000000,run_2,4-cpus,1327,8,8.2333984375 kb,466.5509686470032 sec
query_357,60000,run_3,4-cpus,1327,8,8.2412109375 kb,474.553270816803 sec
query_357,60000000,run_3,4-cpus,1327,8,8.2255859375 kb,465.35506296157837 sec
query_288,60000,run_1,4-cpus,5886774,7,10.048828125 kb,384.0778410434723 sec
query_288,60000000,run_1,4-cpus,5886774,7,10.654296875 kb,379.3593740463257 sec
query_288,60000,run_2,4-cpus,5886774,7,11.400390625 kb,384.4907035827637 sec
query_288,60000000,run_2,4-cpus,5886774,7,10.474609375 kb,379.9404833316803 sec
