query_name,timeout,run_id,cpus,nb_results,nb_quantum,next_size(kb),execution_time(sec)
query_281,60000000,run_2,1-cpus,1883300,2,2.1064453125 kb,97.5286500453949 sec
query_281,60000,run_3,1-cpus,1883300,2,2.1064453125 kb,96.6197612285614 sec
query_281,60000000,run_3,1-cpus,1883300,2,2.6650390625 kb,95.65641164779663 sec
query_431,60000,run_1,1-cpus,9181487,5,2.359375 kb,271.28303050994873 sec
query_431,60000000,run_1,1-cpus,9181487,5,2.359375 kb,271.72641491889954 sec
query_431,60000,run_2,1-cpus,9181487,5,2.36328125 kb,270.8015263080597 sec
query_431,60000000,run_2,1-cpus,9181487,5,2.36328125 kb,267.88418650627136 sec
query_431,60000,run_3,1-cpus,9181487,5,2.36328125 kb,268.9320526123047 sec
query_431,60000000,run_3,1-cpus,9181487,5,2.359375 kb,266.2261235713959 sec
query_44,60000,run_1,1-cpus,1085344,1,0.015625 kb,49.26470637321472 sec
query_44,60000000,run_1,1-cpus,1085344,1,0.015625 kb,49.01618027687073 sec
query_44,60000,run_2,1-cpus,1085344,1,0.015625 kb,48.470611572265625 sec
query_44,60000000,run_2,1-cpus,1085344,1,0.015625 kb,48.44413876533508 sec
query_44,60000,run_3,1-cpus,1085344,1,0.015625 kb,49.95532989501953 sec
query_44,60000000,run_3,1-cpus,1085344,1,0.015625 kb,48.315345287323 sec
query_273,60000,run_1,1-cpus,2642702,3,8.068359375 kb,138.49961948394775 sec
query_273,60000000,run_1,1-cpus,2642702,3,7.236328125 kb,140.86089611053467 sec
query_273,60000,run_2,1-cpus,2642702,3,7.076171875 kb,141.0118613243103 sec
query_273,60000000,run_2,1-cpus,2642702,3,6.767578125 kb,143.55681467056274 sec
query_273,60000,run_3,1-cpus,2642702,3,7.251953125 kb,139.74620699882507 sec
query_273,60000000,run_3,1-cpus,2642702,3,7.154296875 kb,140.6079478263855 sec
query_370,60000,run_1,1-cpus,9221118,5,2.390625 kb,270.5570499897003 sec
query_370,60000000,run_1,1-cpus,9221118,5,2.39453125 kb,269.52910113334656 sec
query_370,60000,run_2,1-cpus,9221118,5,2.38671875 kb,271.6197395324707 sec
query_370,60000000,run_2,1-cpus,9221118,5,2.38671875 kb,267.6987009048462 sec
query_370,60000,run_3,1-cpus,9221118,5,2.3984375 kb,270.80904626846313 sec
query_370,60000000,run_3,1-cpus,9221118,5,2.640625 kb,270.342068195343 sec
query_230,60000,run_1,1-cpus,7126193,6,5.0478515625 kb,331.4129922389984 sec
query_230,60000000,run_1,1-cpus,7126193,6,4.7431640625 kb,335.2701406478882 sec
query_230,60000,run_2,1-cpus,7126193,6,4.9267578125 kb,334.1644821166992 sec
query_230,60000000,run_2,1-cpus,7126193,6,4.6220703125 kb,333.21730756759644 sec
query_230,60000,run_3,1-cpus,7126193,6,4.8681640625 kb,333.1268289089203 sec
query_230,60000000,run_3,1-cpus,7126193,6,4.6806640625 kb,333.8873612880707 sec
query_180,60000,run_1,1-cpus,13090,7,8.212890625 kb,386.37336230278015 sec
query_180,60000000,run_1,1-cpus,13090,7,8.201171875 kb,391.1323299407959 sec
query_180,60000,run_2,1-cpus,13090,7,8.201171875 kb,393.55665946006775 sec
query_180,60000000,run_2,1-cpus,13090,7,8.212890625 kb,380.96216654777527 sec
query_180,60000,run_3,1-cpus,13090,7,8.205078125 kb,401.33374977111816 sec
query_180,60000000,run_3,1-cpus,13090,7,8.208984375 kb,389.1391236782074 sec
query_267,60000,run_1,1-cpus,1382845,1,0.015625 kb,40.01203989982605 sec
query_267,60000000,run_1,1-cpus,1382845,1,0.015625 kb,40.55219221115112 sec
query_267,60000,run_2,1-cpus,1382845,1,0.015625 kb,40.612539529800415 sec
query_267,60000000,run_2,1-cpus,1382845,1,0.015625 kb,39.52039647102356 sec
query_267,60000,run_3,1-cpus,1382845,1,0.015625 kb,40.40685820579529 sec
query_267,60000000,run_3,1-cpus,1382845,1,0.015625 kb,40.67592644691467 sec
query_115,60000,run_1,1-cpus,7445204,2,4.8369140625 kb,87.5608446598053 sec
query_115,60000000,run_1,1-cpus,7445204,2,5.6728515625 kb,87.91854929924011 sec
query_115,60000,run_2,1-cpus,7445204,2,4.8369140625 kb,90.14780259132385 sec
query_115,60000000,run_2,1-cpus,7445204,2,5.6220703125 kb,88.43852114677429 sec
query_115,60000,run_3,1-cpus,7445204,2,5.6728515625 kb,88.53418469429016 sec
query_115,60000000,run_3,1-cpus,7445204,2,4.6455078125 kb,90.48829221725464 sec
query_383,60000,run_1,1-cpus,9181724,5,2.390625 kb,275.5145814418793 sec
query_383,60000000,run_1,1-cpus,9181724,5,2.39453125 kb,273.787561416626 sec
query_383,60000,run_2,1-cpus,9181724,5,2.39453125 kb,271.20210218429565 sec
query_383,60000000,run_2,1-cpus,9181724,5,2.47265625 kb,269.4884855747223 sec
query_383,60000,run_3,1-cpus,9181724,5,2.484375 kb,269.54121351242065 sec
query_383,60000000,run_3,1-cpus,9181724,5,2.38671875 kb,275.9222774505615 sec
query_196,60000,run_1,1-cpus,3873028,3,1.763671875 kb,126.27673268318176 sec
query_196,60000000,run_1,1-cpus,3873028,3,1.771484375 kb,125.71378135681152 sec
query_196,60000,run_2,1-cpus,3873028,3,1.580078125 kb,127.45230674743652 sec
query_196,60000000,run_2,1-cpus,3873028,3,1.732421875 kb,126.0424337387085 sec
query_196,60000,run_3,1-cpus,3873028,3,1.689453125 kb,126.30832934379578 sec
query_196,60000000,run_3,1-cpus,3873028,3,1.818359375 kb,127.16158485412598 sec
query_390,60000,run_1,1-cpus,9181553,5,2.37890625 kb,269.6100814342499 sec
query_390,60000000,run_1,1-cpus,9181553,5,2.37890625 kb,264.0993959903717 sec
query_390,60000,run_2,1-cpus,9181553,5,2.3828125 kb,265.43340253829956 sec
query_390,60000000,run_2,1-cpus,9181553,5,2.375 kb,275.1332573890686 sec
query_390,60000,run_3,1-cpus,9181553,5,2.375 kb,266.5402400493622 sec
query_390,60000000,run_3,1-cpus,9181553,5,2.37890625 kb,268.9946873188019 sec
query_197,60000,run_1,1-cpus,3872752,4,3.8154296875 kb,240.19518756866455 sec
query_197,60000000,run_1,1-cpus,3872752,4,4.3349609375 kb,238.16557383537292 sec
query_197,60000,run_2,1-cpus,3872752,4,4.3154296875 kb,237.51503586769104 sec
query_197,60000000,run_2,1-cpus,3872752,5,5.40234375 kb,252.1590313911438 sec
query_197,60000,run_3,1-cpus,3872752,4,4.1591796875 kb,232.9855728149414 sec
query_197,60000000,run_3,1-cpus,3872752,4,3.6240234375 kb,236.0594413280487 sec
query_441,60000,run_1,1-cpus,1636619,3,3.919921875 kb,153.16892170906067 sec
query_441,60000000,run_1,1-cpus,1636619,3,3.724609375 kb,153.27064538002014 sec
query_441,60000,run_2,1-cpus,1636619,3,4.044921875 kb,153.65672326087952 sec
query_441,60000000,run_2,1-cpus,1636619,3,3.728515625 kb,151.2424671649933 sec
query_441,60000,run_3,1-cpus,1636619,3,3.607421875 kb,153.09314632415771 sec
query_441,60000000,run_3,1-cpus,1636619,3,3.904296875 kb,156.26854157447815 sec
query_208,60000,run_1,1-cpus,2862157,3,2.189453125 kb,171.88339972496033 sec
query_208,60000000,run_1,1-cpus,2862157,3,2.142578125 kb,169.68676829338074 sec
query_208,60000,run_2,1-cpus,2862157,3,2.349609375 kb,170.1191222667694 sec
query_208,60000000,run_2,1-cpus,2862157,3,2.138671875 kb,171.20897126197815 sec
query_208,60000,run_3,1-cpus,2862157,3,2.072265625 kb,172.8392994403839 sec
query_208,60000000,run_3,1-cpus,2862157,3,2.650390625 kb,167.90642833709717 sec
query_453,60000,run_1,1-cpus,551660,2,3.6728515625 kb,119.62895035743713 sec
query_453,60000000,run_1,1-cpus,551660,2,3.6259765625 kb,117.42290735244751 sec
query_453,60000,run_2,1-cpus,551660,2,3.5400390625 kb,115.38732433319092 sec
query_453,60000000,run_2,1-cpus,551660,2,3.5166015625 kb,116.0188090801239 sec
query_453,60000,run_3,1-cpus,551660,2,3.6259765625 kb,118.3994255065918 sec
query_453,60000000,run_3,1-cpus,551660,2,3.6103515625 kb,120.05439496040344 sec
query_433,60000,run_1,1-cpus,9181487,5,3.703125 kb,256.3426105976105 sec
query_433,60000000,run_1,1-cpus,9181487,5,3.7109375 kb,249.69197869300842 sec
query_433,60000,run_2,1-cpus,9181487,5,3.70703125 kb,245.2209849357605 sec
query_433,60000000,run_2,1-cpus,9181487,5,3.70703125 kb,250.16654539108276 sec
query_433,60000,run_3,1-cpus,9181487,5,3.703125 kb,250.28704619407654 sec
query_433,60000000,run_3,1-cpus,9181487,5,3.70703125 kb,251.4421329498291 sec
query_283,60000,run_1,1-cpus,4296587,5,15.03515625 kb,252.25857973098755 sec
query_283,60000000,run_1,1-cpus,4296587,5,17.67578125 kb,262.1705102920532 sec
query_283,60000,run_2,1-cpus,4296587,5,15.08203125 kb,260.01407194137573 sec
query_283,60000000,run_2,1-cpus,4296587,5,15.09765625 kb,261.0664019584656 sec
query_283,60000,run_3,1-cpus,4296587,5,14.765625 kb,262.18631744384766 sec
query_283,60000000,run_3,1-cpus,4296587,5,16.64453125 kb,260.51270961761475 sec
query_321,60000,run_1,1-cpus,1671043,7,66.869140625 kb,389.0462362766266 sec
query_321,60000000,run_1,1-cpus,1671043,7,67.568359375 kb,389.4228837490082 sec
