query_name,run,timeout,nb_pause_resume,execution_time,nb_results
query_208,run_1,60000,1,105674,2862157
query_208,run_2,60000,1,102479,2862157
query_208,run_3,60000,1,103826,2862157
query_208,run_1,60000000,0,103875,2862157
query_208,run_2,60000000,0,102885,2862157
query_208,run_3,60000000,0,104768,2862157
query_453,run_1,60000,0,27761,551660
query_453,run_2,60000,0,27097,551660
query_453,run_3,60000,0,25757,551660
query_453,run_1,60000000,0,27286,551660
query_453,run_2,60000000,0,27035,551660
query_453,run_3,60000000,0,26710,551660
query_433,run_1,60000,1,103873,9181487
query_433,run_2,60000,1,94402,9181487
query_433,run_3,60000,1,97862,9181487
query_433,run_1,60000000,0,97084,9181487
query_433,run_2,60000000,0,94867,9181487
query_433,run_3,60000000,0,94522,9181487
query_283,run_1,60000,1,61104,4296587
query_283,run_2,60000,1,62806,4296587
query_283,run_3,60000,1,61994,4296587
query_283,run_1,60000000,0,61446,4296587
query_283,run_2,60000000,0,61841,4296587
query_283,run_3,60000000,0,63008,4296587
query_321,run_1,60000,1,76454,1668129
query_321,run_2,60000,1,76684,1668129
query_321,run_3,60000,1,81354,1668129
query_321,run_1,60000000,0,80444,1668129
query_321,run_2,60000000,0,76741,1668129
query_321,run_3,60000000,0,77433,1668129
query_42,run_1,60000,0,19204,709175
query_42,run_2,60000,0,18041,709175
query_42,run_3,60000,0,17909,709175
query_42,run_1,60000000,0,17395,709175
query_42,run_2,60000000,0,18222,709175
query_42,run_3,60000000,0,17730,709175
query_226,run_1,60000,1,66017,1783600
query_226,run_2,60000,1,71014,1783600
query_226,run_3,60000,1,60170,1783600
query_226,run_1,60000000,0,61400,1783600
query_226,run_2,60000000,0,64474,1783600
query_226,run_3,60000000,0,64398,1783600
